Institution,Address,Country 
TechWolf,"Overzet 14A, 9000 Gent, Belgium",Belgium
Tecnológico de Monterrey,"Av. Eugenio Garza Sada 2501 Sur, Tecnológico, 64849 Monterrey, N.L., Mexico",Mexico
Tel Aviv University,"Chaim Levanon St 55, Tel Aviv-Yafo, 6997801, Israel",Israel
Télécom Paris,"19 Pl. Marguerite Perey, 91120 Palaiseau, France",France
Telenor,"Fornebu, Norway",Norway
Tencent,"Shenzhen, China",China
Terma,"Sydmarken 44A, 2860 Søborg",Denmark
Texas Tech University,"2500 Broadway W, Lubbock, TX 79409, USA",USA
The Alan Turing Institute,"British Library, 96 Euston Rd., London NW1 2DB, UK",UK
The Alliance Manchester Business School,"Booth St W, Manchester M15 6PB, UK",UK
The Boeing Company,"Arlington County, Virginia, USA",USA
The Danish Agency for Labour Market and Recruitment,"Njalsgade 72A, 2300 Copenhagen S, Denmark",Denmark
The Eye Tribe Aps,"1 Hacker Way, Menlo Park, CA 94025, US",USA
The French National Institute for Computer Science (INRIA),"Domaine de Voluceau, 78150 Le Chesnay-Rocquencourt, France",France
The Hong Kong Polytechnic University,"11 Yuk Choi Rd, Hung Hom, Hong Kong",Hong Kong
The Hong Kong University of Science and Technology,"Clear Water Bay, Hong Kong",Hong Kong
The Honourable Society of Lincoln's Inn,"The Treasury Office, Lincoln's Inn, London WC2A 3TL, UK",UK
The IMDEA Software Institute,"Campus de Montegancedo s/n, 28223 Pozuelo de Alarcón, Madrid, Spain",Spain
The Indian Ministry of Education,"126-C, Shastri Bhawan, New Delhi, India",India
The London School of Economics and Political Science,"Houghton St, London WC2A 2AE, UK",UK
The Media Museum,"Pictureville, Bradford BD1 1NQ, UK",UK
"The National Center for Epilepsy, Rikshospitalet, University Hospital, Sandvika, Norway","G.F. Henriksens vei 23, 1337 Sandvika, Norway",Norway
The National Research Council of Canada Industrial Research Assistance Program,"1200 Montreal Road, Building M-58, Ottawa, Ontario K1A 0R6, Canada",Canada
The New Centre for Research and Practice,"417 Broadmoor Ave SE, Kentwood, MI 49512, US",USA
The Ohio State University,"281 W Lane Ave, Columbus, OH 43210, USA",USA
The Open University,"Walton Hall, Kents Hill, Milton Keynes MK7 6AA, UK",UK
The San Francisco Museum of Modern Art,"151 3rd St, San Francisco, CA 94103, USA",USA
The Swedish National Road and Transport Research Institute (VTI),"Olaus Magnus väg 35, 581 95 Linköping, Sweden",Sweden
The University of Auckland,"34 Princes Street, Auckland CBD, Auckland 1010, New Zealand",New Zealand
The University of Chicago,"5801 S Ellis Ave, Chicago, IL 60637, USA",USA
The University of Hong Kong,"Pok Fu Lam, Hong Kong",Hong Kong
The University of Queensland,"St Lucia Campus, Brisbane, Queensland 4072, Australia",Australia
The University of Sydney,"Camperdown NSW 2050, Australia",Australia
The University of Tokyo,"7 Chome-3-1 Hongo, Bunkyo City, Tokyo 113-8654, Japan",Japan
TigerBeetle,"San Francisco CA 94114, US",USA
Tilburg University,"Warandelaan 2, 5037 AB Tilburg, Netherlands",Netherlands
Tokyo Institute of Technology,"2 Chome-12-1 Ookayama, Meguro City, Tokyo 152-8550, Japan",Japan
Tokyo Metropolitan University,"Japan, 〒192-0397 Tokyo, Hachioji, Minamiosawa, 1 Chome−１",Japan
Toyota Technological Institute at Chicago,"6045 S Kenwood Ave, Chicago, IL 60637, USA",USA
Transmedia Storyteller Ltd,"71-75 Shelton Street, Covent Garden, London, WC2H 9JQ, UK",UK
Troyes University of Technology,"12 Rue Marie Curie, 10300 Troyes, France",France
TU Dortmund University,"Poststelle: August-Schmidt-Straße 1 Rektorat:, August-Schmidt-Straße 4, 44227 Dortmund, Germany",Germany
TU Dresden,"01069 Dresden, Germany",Germany
Tübingen AI Center,"Maria-von-Linden-Straße 6, 72076 Tübingen, Germany",Germany
Tufts University,"419 Boston Ave, Medford, MA 02155, USA",USA
UAE University,Sheik Khalifa Bin Zayed St - 'Asharij - Abu Dhabi - United Arab Emirates,United Arab Emirates
UC Leuven-Limburg,"Gebouw B, Agoralaan, 3590 Diepenbeek, Belgium",Belgium
U-Hopper,"Via Roberto da Sanseverino, 95, 38122 Trento TN, Italy",Italy
Ulm University,"Helmholtzstraße 16, 89081 Ulm, Germany",Germany
Umeå University,"UNIVERSITETSTORGET 4, 901 87 Umeå, Sweden",Sweden
UNICEF,"New York, New York, USA",USA
Unisys A/S,"Lautrupvang 1, 2750 Ballerup, Denmark",Denmark
UNITEC Institute of Technology,"Building 180/139 Carrington Road, Mount Albert, Auckland 1025, New Zealand",New Zealand
United Arab Emirates University,Sheik Khalifa Bin Zayed St - 'Asharij - Abu Dhabi - United Arab Emirates,United Arab Emirates
"Universidad Católica ""Nuestra Señora de la Asunción""","P999+M5X, Cordillera de Amambay casi, Comuneros, Asunción, Paraguay",Paraguay
Universidad de los Andes,"Monseñor Álvaro del Portillo 12455, Santiago, Las Condes, Región Metropolitana, Chile",Chile
Universidad Nacional de Tres de Febrero,"Valentín Gómez 4828, B1674AHJ Caseros, Buenos Aires, Argentina",Argentina
Universidad Pompeu Fabra,"Carrer de la Mercè, 12, Ciutat Vella, 08002 Barcelona, Spain",Spain
Universidad Pontificia de Comillas,"C. de Alberto Aguilera, 23, Centro, 28015 Madrid, Spain",Spain
Universidade da Coruña,"A Coruña, Spain",Spain
Universidade Federal de Minas Gerais,"Av. Pres. Antônio Carlos, 6627 - Pampulha, Belo Horizonte - MG, 31270-901, Brazil",Brazil
Universita' degli Studi de Urbino Carlo Bo,"Via Aurelio Saffi, 2, 61029 Urbino PU, Italy",Italy
Università della Svizzera italiana,"Via Giuseppe Buffi 13, 6900 Lugano, Switzerland",Switzerland
Universität der Bundeswehr München,"Werner-Heisenberg-Weg 393GEB, 85579 Neubiberg, Germany",Germany
Universität für Bodenkultur Wien,"Gregor-Mendel-Straße 33, 1180 Wien, Austria",Austria
UNIVERSITAT JAUME I,"Avinguda de Vicent Sos Baynat, s/n, 12006 Castelló de la Plana, Castelló, Spain",Spain
Universität Mannheim,"Schloss Ehrenhof Ost, 68161 Mannheim, Germany",Germany
Universität Potsdam,"Am Neuen Palais 10, 14469 Potsdam, Germany",Germany
Universitat Wien,"Universitätsring 1, 1010 Wien, Austria",Austria
Université catholique de Louvain,"Pl. de l'Université 1, 1348 Ottignies-Louvain-la-Neuve, Belgium",Belgium
Universite Cote d'Azur,"Av. Valrose, 06000 Nice, France",France
Université d’Orléans,"Château de la Source, 45100 Orléans, France",France
"Université de Lyon, CNRS","Université de Lyon, 92 Rue Pasteur, 69007 Lyon, France",France
Universite du Luxembourg,"2 Av. de l'Universite L, 4365, Esch-Belval Esch-sur-Alzette, Luxembourg",Luxembourg
Université Le Havre Normandie,"25 Rue Philippe Lebon, 76600 Le Havre, France",France
Université Paris-Saclay,"3 Rue Joliot-Curie, 91190 Gif-sur-Yvette, France",France
University College Absalon,"Parkvej 190, 4700 Næstved",Denmark
University College Copenhagen,"Sigurdsgade 26, 2200 Copenhagen N, Denmark",Denmark
University College Cork,"College Rd, University College, Cork, Ireland",Ireland
University College Dublin,"University College Dublin, Belfield, Dublin 4, Ireland",Ireland
University College London,"Gower St, London WC1E 6BT, UK",UK
University College London - Institute of Education,"20 Bedford Way, London WC1H 0AL, UK",UK
University College Southern Denmark,"Degnevej 16, 6705 Esbjerg, Denmark",Denmark
University Grenoble Alpes,"621 Av. Centrale, 38400 Saint-Martin-d'Hères, France",France
University Libre du Bruxelles,"Av. Franklin Roosevelt 50, 1050 Bruxelles, Belgium",Belgium
University of  Urbino Carlo Bo,"Via Aurelio Saffi, 2, 61029 Urbino PU, Italy",Italy
University of A Coruna,"Campus, 15008 A Coruña, Spain",Spain
University of Aberdeen,"King's College, Aberdeen AB24 3FX, UK",UK
University of Adelaide,"Adelaide SA 5005, Australia",Australia
University of Agder,"Campus Kristiansand, Universitetsveien 25, 4630 Kristiansand, Norway",Norway
University of Alberta,"116 St & 85 Ave, Edmonton, AB T6G 2R3, Canada",Canada
University of Amsterdam,"1012 WP Amsterdam, Netherlands",Netherlands
University of Antwerp,"Prinsstraat 13, 2000 Antwerpen, Belgium",Belgium
University of Applied Arts Vienna,"Oskar Kokoschka-Platz 2, 1010 Wien, Austria",Austria
University of Applied Sciences and Arts Northwestern Switzerland,"Bahnhofstrasse 6, 5210 Windisch, Switzerland",Switzerland
University of Applied Sciences Baden-Württemberg Lörrach,"Hübelweg 8, 79539 Lörrach, Germany",Germany
University of Applied Sciences Upper Austria,"Roseggerstraße 15, 4600 Wels, Austria",Austria
University of Arkansas,"Fayetteville, AR 72701, USA",USA
University of Aveiro,"Universidade de Aveiro, 3810-193 Aveiro, Portugal",Portugal
University of Barcelona,"Gran Via de les Corts Catalanes, 585, L'Eixample, 08007 Barcelona, Spain",Spain
University of Bari,"Piazza Umberto I, 1, 70121 Bari BA, Italy",Italy
University of Basel,"Peterspl. 1, 4001 Basel, Switzerland",Switzerland
University of Bayreuth,"Universitätsstraße 30, 95447 Bayreuth, Germany",Germany
University of Bergen,"5007 Bergen, Norway",Norway
University of Bern,"Hochschulstrasse 4, 3012 Bern, Switzerland",Switzerland
University of Birmingham,"Birmingham B15 2TT, UK",UK
University of Bologna,"Via Zamboni, 33, 40126 Bologna BO, Italy",Italy
University of Bonn,"Regina-Pacis-Weg 3, 53113 Bonn, Germany",Germany
University of Borås,"Allégatan 1, 503 32 Borås, Sweden",Sweden
University of Bremen,"Bibliothekstraße 1, 28359 Bremen, Germany",Germany
University of Bristol,"Beacon House, Queens Rd, Bristol BS8 1QU, UK",UK
University of British Columbia,"2329 West Mall, Vancouver, BC V6T 1Z4, Canada",Canada
University of Calabria,"Via Pietro Bucci, 87036 Arcavacata CS, Italy",Italy
University of Calgary,"2500 University Dr NW, Calgary, AB T2N 1N4, Canada",Canada
University of California,"1111 Franklin St, Oakland, CA 94607, USA",USA
University of Cambridge,"The Old Schools, Trinity Ln, Cambridge CB2 1TN, UK",UK
University of Cape Town,"Rondebosch, Cape Town, 7700, South Africa",South Africa
University of Castilla-La Mancha,"Rectorado UCLM, C. Altagracia, 50, 13001 Ciudad Real, Spain",Spain
University of Catalonia/URV,"Carrer de l'Escorxador, 43003 Tarragona, Catalonia, Spain",Spain
University of Cauca,"Cl 5 #4-70, Centro, Popayán, Cauca, Colombia",Colombia
University of Central Florida,"4000 Central Florida Blvd, Orlando, FL 32816, USA",USA
University of Chemistry and Technology Prague,"Technická 5, 160 00 Praha 6-Dejvice, Czechia",Czechia
University of Cincinnati,"2600 Clifton Avenue, Cincinnati, OH 45221, USA",USA
University of Coimbra,"3004-531 Coimbra, Portugal",Portugal
University of Cologne,"Albertus-Magnus-Platz, 50923 Köln, Germany",Germany
University of Colorado,"1420 Austin Bluffs Parkway, Colorado Springs, CO 80918, USA",USA
University of Copenhagen,"Nørregade 10, 1172 København",Denmark
University of Costa Rica,"San Pedro de Montes de Oca, 11501-2060 San José, Costa Rica",Costa Rica
University of Derby,"Kedleston Rd, Derby DE22 1GB, UK",UK
University of Duisburg-Essen,"Forsthausweg 2, 47057 Duisburg, Germany",Germany
University of East Anglia,"Research Park, Norwich NR4 7TJ, UK",UK
University of East London,"University Way, London E16 2RD, UK",UK
University of Eastern Finland,"Microkatu 1, 70210 Kuopio, Finland",Finland
University of Edinburgh,"Old College, South Bridge, Edinburgh EH8 9YL, UK",UK
University of Education Weingarten,"Kirchpl. 2, 88250 Weingarten, Germany",Germany
University of Fort Hare,"University of Fort Hare Alice Campus, Ring Road, Dikeni, 5700, South Africa",South Africa
University of Fribourg,"Av. de l'Europe 20, 1700 Fribourg, Switzerland",Switzerland
University of Geneva,"1205 Geneva, Switzerland",Switzerland
University of Genoa,"Genoa, Italy",Italy
University of Gent,"Ufo-building, Campus Ufo, Sint-Pietersnieuwstraat 33, 9000 Gent, Belgium",Belgium
University of Georgia,"University of Georgia Chapel, Herty Dr, Athens, GA 30602, USA",USA
University of Ghana,"Legon Boundary, Accra, Ghana",Ghana
University of Glasgow,"Glasgow G12 8QQ, UK",UK
University of Gothenburg,"Universitetsplatsen 1, 405 30 Göteborg, Sweden",Sweden
University of Granada,"Av. del Hospicio, s/n, 18071 Granada, Spain",Spain
University of Graz,"Universitätspl. 3, 8010 Graz, Austria",Austria
University of Groningen,"Broerstraat 5, 9712 CP Groningen, Netherlands",Netherlands
University of Hagen,"Universitätsstraße 11, 58097 Hagen, Germany",Germany
University of Hamburg,"Mittelweg 177, 20148 Hamburg, Germany",Germany
University of Hawaii,"2500 Campus Rd, Honolulu, HI 96822, USA",USA
University of Helsinki,"Yliopistonkatu 4, 00100 Helsinki, Finland",Finland
University of Hildesheim,"Universitätspl. 1, 31141 Hildesheim, Germany",Germany
University of Hohenheim,"Schloß Hohenheim 1, 70599 Stuttgart, Germany",Germany
University of Houston,"4302 University Dr, Houston, TX 77004, USA",USA
University of Illinois,"601 E John St, Champaign, IL 61820, USA",USA
University of Innsbruck,"Innrain 52, 6020 Innsbruck, Austria",Austria
University of Ioannina,"T.Th.1186, T.K, CampusIoannina University, Ioannina 451 10, Greece",Greece
University of Jyväskylä,"Seminaarinkatu 15, 40014 Jyväskylän yliopisto, Finland",Finland
University of Kent,"Giles Ln, Canterbury CT2 7NZ, UK",UK
University of Klagenfurt,"Universitätsstraße 65/67, 9020 Klagenfurt am Wörthersee, Austria",Austria
University of Koblenz,"Universitätsstraße 1, 56070 Koblenz, Germany",Germany
University of Konstanz,"Universitätsstraße 10, 78464 Konstanz, Germany",Germany
University of Lapland,"Yliopistonkatu 8, 96300 Rovaniemi, Finland",Finland
University of Leeds,"Woodhouse, Leeds LS2 9JT, UK",UK
University of Leicester,"University Rd, Leicester LE1 7RH, UK",UK
University of Leon,"Avenida de la Facultad, 25, 24004 León, Spain",Spain
University of Liechtenstein,"Fürst-Franz-Josef-Strasse, 9490 Vaduz, Liechtenstein",Liechtenstein
University of Limerick,"Castletroy, Co. Limerick, V94 T9PX, Ireland",Ireland
University of Limmerick,"Castletroy, Co. Limerick, V94 T9PX, Ireland",Ireland
University of Lisbon,"Cidade Universitária, Alameda da Universidade, 1649-004 Lisboa, Portugal",Portugal
University of Liverpool,"Foundation Building, Brownlow Hill, Liverpool L69 7ZX, UK",UK
University of Ljubljana,"Kongresni trg 12, 1000 Ljubljana, Slovenia",Slovenia
University of London,"Senate House, Malet St, London WC1E 7HU, UK",UK
University of Lübeck,"Ratzeburger Allee 160, 23562 Lübeck, Germany",Germany
University of Lugano,"Via Giuseppe Buffi 13, 6900 Lugano, Switzerland",Switzerland
University of Luxembourg,"2 Av. de l'Universite L, 4365, Esch-Belval Esch-sur-Alzette, Luxembourg",Luxembourg
University of Malta,"Msida MSD 2080, Malta",Malta
University of Manchester,"Oxford Rd, Manchester M13 9PL, UK",UK
University of Manitoba,"66 Chancellors Cir, Winnipeg, MB R3T 2N2, Canada",Canada
University of Mannheim,"Schloss Ehrenhof Ost, 68161 Mannheim, Germany",Germany
University of Maribor,"Slomškov trg 15, 2000 Maribor, Slovenia",Slovenia
University of Maryland,"College Park, MD 20742, USA",USA
University of Massachusetts,"181 President Dr, Amherst, MA 01003, USA",USA
University of Melbourne,"Parkville VIC 3052, Australia",Australia
University of Miami,"1320 S Dixie Hwy, Coral Gables, FL 33146, USA",USA
University of Michigan,"500 S State St, Ann Arbor, MI 48109, USA",USA
University of Milan,"Via Festa del Perdono, 7, 20122 Milano MI, Italy",Italy
University of Milano-Bicocca,"Piazza dell'Ateneo Nuovo, 1, 20126 Milano MI, Italy",Italy
University of Montpellier,"163 Rue Auguste Broussonnet, 34090 Montpellier, France",France
University of Münster,"Schlosspl. 2, 48149 Münster, Germany",Germany
University of Murcia,"C. Campus Universitario, 11, 30100 Murcia, Spain",Spain
University of Namur,"Rue de Bruxelles 61, 5000 Namur, Belgium",Belgium
University of Navarra,"Pamplona, Spain",Spain
University of Nebraska,"1400 R St, Lincoln, NE 68588, USA",USA
University of Nevada,"1664 N Virginia St, Reno, NV 89557, USA",USA
University of New South Wales,"Sydney NSW 2052, Australia",Australia
University of Nigeria,"Obukpa Rd, Nsukka 410105, Enugu, Nigeria",Nigeria
University of North Carolina,"Chapel Hill, NC 27599, USA",USA
University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA",USA
University of Nottingham,"Nottingham NG7 2RD, UK",UK
University of Oslo,"Problemveien 11, 0313 Oslo, Norway",Norway
University of Otago,"362 Leith Street, Dunedin North, Dunedin 9016, New Zealand",New Zealand
University of Ottawa,"75 Laurier Ave E, Ottawa, ON K1N 6N5, Canada",Canada
University of Oulu,"Pentti Kaiteran katu 1, 90570 Oulu, Finland",Finland
University of Oxford,"Wellington Square, Oxford OX1 2JD, UK",UK
University of Padova,"Via VIII Febbraio, 2, 35122 Padova PD, Italy",Italy
University of Padua,"Via VIII Febbraio, 2, 35122 Padova PD, Italy",Italy
University of Passau,"Innstraße 41, 94032 Passau, Germany",Germany
University of Pittsburgh,"4200 Fifth Ave, Pittsburgh, PA 15260, USA",USA
University of Plymouth,"Drake Circus, Plymouth PL4 8AA, UK",UK
"University of Porto, Faculty of Fine Arts","Av. de Rodrigues de Freitas 265, 4049–021 Porto, Portugal",Portugal
University of Primorska,"Praetorian Palace, Titov trg 4, 6000 Koper, Slovenia",Slovenia
University of Quebec Montreal,"405 Rue Sainte-Catherine Est, Montréal, QC H2L 2C4, Canada",Canada
University of Regensburg,"Universitätsstraße 31, 93053 Regensburg, Germany",Germany
University of Rochester,"Rochester, NY, USA",USA
University of Rome Tor Vergata,"Via Cracovia, 90, 00133 Roma RM, Italy",Italy
University of Rostock,"18051 Rostock, Germany",Germany
University of Salamanca,"Patio de Escuelas, 1, 37008 Salamanca, Spain",Spain
University of Salzburg,"Kapitelgasse 4/6, 5020 Salzburg, Austria",Austria
University of São Paulo,"R. da Reitoria, 374 - Butantã, São Paulo - SP, 05508-220, Brazil",Brazil
University of Sassari,"Piazza Università, 21, 07100 Sassari SS, Italy",Italy
University of Seville,"C. San Fernando, 4, 41004 Sevilla, Spain",Spain
University of Sheffield,"Western Bank, Sheffield S10 2TN, UK",UK
University of Siegen,"Adolf-Reichwein-Straße 2a, 57076 Siegen, Germany",Germany
University of Siena,"Via Banchi di Sotto, 55, 53100 Siena, Italy",Italy
University of South Africa,"P.O. Box 392, Pretoria, 0003, South Africa",South Africa
University of South Florida,"4202 E Fowler Ave, Tampa, FL 33620, USA",USA
University of South-Eastern Norway,"Lærerskoleveien 40, 3679 Notodden, Norway",Norway
University of Southern California,"Los Angeles, CA 90007, USA",USA
University of Southern Denmark,"Campusvej 55, 5230 Odense",Denmark
University of St Andrews,"St Andrews KY16 9AJ, UK",UK
University of St. Gallen,"Dufourstrasse 50, 9000 St. Gallen, Switzerland",Switzerland
University of Stavanger,"Kjell Arholms gate 41, 4021 Stavanger, Norway",Norway
University of Stirling,"Stirling FK9 4LA, UK",UK
University of Strathclyde,"16 Richmond St, Glasgow G1 1XQ, UK",UK
University of Stuttgart,"Keplerstraße 7, 70174 Stuttgart, Germany",Germany
University of Sussex,"Falmer, Brighton BN1 9RH, UK",UK
University of Tartu,"Ülikooli 18, 50090 Tartu, Estonia",Estonia
University of Tasmania,"Churchill Ave, Hobart TAS 7005, Australia",Australia
"University of Technology, Sydney","15 Broadway, Ultimo NSW 2007, Australia",Australia
University of Texas,"2515 Speedway, Austin, TX 78712, USA",USA
University of the Americas,"Av. de los Granados E12-41 y Colimes, Quito, Ecuador",Ecuador
University of the Free State,"205 Nelson Mandela Dr, Park West, Bloemfontein, 9301, South Africa",South Africa
University of the West of England,"Coldharbour Ln, Stoke Gifford, Bristol BS16 1QY, UK",UK
University of Torino,"Via Giuseppe Verdi, 8, 10124 Torino TO, Italy",Italy
University of Toronto,"27 King's College Cir, Toronto, ON M5S 1A1, Canada",Canada
University of Trento,"Via Calepina, 14, 38122 Trento TN, Italy",Italy
University of Tromsø – The Arctic University of Norway,"Hansine Hansens veg 18, 9019 Tromsø, Norway",Norway
University of Turin,"Via Giuseppe Verdi, 8, 10124 Torino TO, Italy",Italy
University of Turku,"20014 Turku, Finland",Finland
University of Twente,"Drienerlolaan 5, 7522 NB Enschede, Netherlands",Netherlands
University of Vaasa,"Wolffintie 32, 65200 Vaasa, Finland",Finland
University of Valencia,"Av. de Blasco Ibáñez, 13, El Pla del Real, 46010 València, Valencia, Spain",Spain
University of Versailles,"Siège, 55 Av. de Paris, 78000 Versailles, France",France
University of Victoria,"3800 Finnerty Rd, Victoria, BC V8P 5C2, Canada",Canada
University of Vienna,"Universitätsring 1, 1010 Wien, Austria",Austria
University of Vigo,"Circunvalación ao Campus Universitario, 36310 Vigo, Pontevedra, Spain",Spain
University of Virginia,"Charlottesville, VA, USA",USA
University of Warsaw,"Krakowskie Przedmieście 26/28, 00-927 Warszawa, Poland",Poland
University of Warwick,"Coventry CV4 7AL, UK",UK
University of Washington,"1410 NE Campus Pkwy, Seattle, WA 98195, USA",USA
University of Waterloo,"200 University Ave W, Waterloo, ON N2L 3G1, Canada",Canada
University of West London,"St Mary's Rd, London W5 5RF, UK",UK
University of Wisconsin-Madison,"500 Lincoln Dr, Madison, WI 53706, USA",USA
University of Wolverhampton,"Wulfruna St, Wolverhampton WV1 1LY, UK",UK
University of York,"Heslington, York YO10 5DD, UK",UK
University of Zagreb,"Ul. Radoslava Cimermana 88, 10000, Zagreb, Croatia",Croatia
University of Zurich,"Rämistrasse 71, 8006 Zürich, Switzerland",Switzerland
University Savoie Mont Blanc,"27 Rue Marcoz, 73000 Chambéry, France",France
University West,"Gustava Melins gata 2, 461 32 Trollhättan, Sweden",Sweden
Uppsala University,"753 10 Uppsala, Sweden",Sweden
USA Military Academy,"606 Thayer Rd, West Point, NY 10996, USA",USA
UTI Research Group,"Augasse 2-6, 1090 Wien, Austria",Austria
Utrecht University,"Heidelberglaan 8, 3584 CS Utrecht, Netherlands",Netherlands
Vale Institute of Technology,"Rua Boaventura da Silva, 955, Nazaré, Belém, Pará, 66055-090, Brazil",Brazil
Vanderbilt University,"2201 West End Ave, Nashville, TN 37235, USA",USA
Vector Consulting Services,"Ingersheimer Str. 20, 70499 Stuttgart, Germany",Germany
Vendsyssel Hospital,"Bispensgade 37, 9800 Hjørring, Denmark",Denmark
Verband für Digitalisierung in der Sozialwirtschaft,"Schwalbenweg 5, 06110 Halle, Germany",Germany
Victoria University of Wellington,"Kelburn Parade, Kelburn, Wellington 6012, New Zealand",New Zealand
Videntifier,"Borgartún 31, 105 Reykjavik, Iceland",Iceland
Vienna University of Technology,"1040 Vienna, Austria",Austria
Villanova University,"800 Lancaster Ave, Villanova, PA 19085, USA",USA
Villum Foundation,"Tuborg Havnevej 19, 2900 Hellerup, Denmark",Denmark
Virginia Polytechnic Institute and State University,"Blacksburg, VA 24061, USA",USA
Virtual Vehicle Research Center,"Inffeldgasse 21a, 8010 Graz, Austria",Austria
Vishwakarma Institute of Technology,"VISHWAKARMA INSTITUTE OF TECHNOLOGY VIT, Upper Indira Nagar, Bibwewadi, Pune, Maharashtra 411037, India",India
Visualising Data Ltd,"41 Talbot Rd, Roundhay, Leeds LS8 1AG, UK",UK
Vivantes Klinikum im Friedrichshain,"Landsberger Allee 49, 10249 Berlin, Germany",Germany
VMware Research,"3401 Hillview Ave, Palo Alto, CA 94304, USA",USA
VNG AG,"Leipzig, Germany",Germany
Vrije University Amsterdam,"De Boelelaan 1105, 1081 HV Amsterdam, Netherlands",Netherlands
Wageningen University & Research,"Droevendaalsesteeg 4, 6708 PB Wageningen, Netherlands",Netherlands
Warsaw University of Technology,"plac Politechniki 1, 00-661 Warszawa, Poland",Poland
Warwick Business School,"University Of Warwick, Scarman Rd, Coventry CV4 7AL, UK",UK
Washington University in St. Louis,"1 Brookings Dr, St. Louis, MO 63130, USA",USA
Wayne State University,"42 W Warren Ave, Detroit, MI 48202, USA",USA
Weizmann Institute,"Herzl St 234, Rehovot, Israel",Israel
Wellesley College,"106 Central St, Wellesley, MA 02481, USA",USA
Welthungerhilf,"Friedrich-Ebert-Straße 1, 53173 Bonn, Germany",Germany
Westerdals Oslo School of Arts,"Vulkan 19, 0178 Oslo, Norway",Norway
Western Norway University of Applied Sciences,"Inndalsveien 28, 5063 Bergen, Norway",Norway
"Wipro Academy of Enterprise Architecture. Wipro Ltd., Bangalore","Doddakannelli, Sarjapur Road, Bangalore, Karnataka 560035, India",India
Wirtschaftsuniversität Wien,"Welthandelspl. 1, 1020 Wien, Austria",Austria
"World Maritime University, Malmö","Fiskehamnsgatan 1, 211 18 Malmö, Sweden",Sweden
World Resources Forum,"Lerchenfeldstr. 5, 9014 St. Gallen, Switzerland",Switzerland
Yahoo Labs,"701 First Avenue, Sunnyvale, CA 94089, USA",USA
Yale University,"New Haven, CT 06520, USA",USA
Yandex,"Ulitsa Lva Tolstogo 16, Moscow, Russia",Russia
Yonsei University,"50 Yonsei-ro, Seodaemun-gu, Seoul, South Korea",South Korea
York University,"Heslington, York YO10 5DD, UK",UK
Zengo,"Derech Menachem Begin 121-123, Tel Aviv, Israel",Israel
ZURCHER HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN,"Gertrudstrasse 15, 8400 Winterthur, Switzerland",Switzerland
Zurich University of the Arts,"Pfingstweidstrasse 96, 8005 Zürich, Switzerland",Switzerland
